locA	locB	share border	is international
Tambacounda	Kouroussa	0	1
Tambacounda	Mandiana	0	1
Tambacounda	Siguiri	0	1
Tambacounda	Coyah	0	1
Tambacounda	Dubreka	0	1
Tambacounda	Forecariah	0	1
Tambacounda	Kindia	0	1
Tambacounda	Telimele	0	1
Tambacounda	Koubia	0	1
Tambacounda	Lelouma	0	1
Tambacounda	Labe	0	1
Tambacounda	Mali	0	1
Tambacounda	Tougue	0	1
Tambacounda	Dalaba	0	1
Tambacounda	Mamou	0	1
Tambacounda	Pita	0	1
Tambacounda	Beyla	0	1
Tambacounda	Gueckedou	0	1
Tambacounda	Lola	0	1
Tambacounda	Macenta	0	1
Tambacounda	Nzerekore	0	1
Tambacounda	Yamou	0	1
Tambacounda	Kailahun	0	1
Tambacounda	Kenema	0	1
Tambacounda	Kono	0	1
Tambacounda	Bombali	0	1
Tambacounda	Kambia	0	1
Tambacounda	Koinadugu	0	1
Tambacounda	PortLoko	0	1
Tambacounda	Tonkolili	0	1
Tambacounda	Bo	0	1
Tambacounda	Bonthe	0	1
Tambacounda	Moyamba	0	1
Tambacounda	Pujehun	0	1
Tambacounda	WesternRural	0	1
Tambacounda	WesternUrban	0	1
Tambacounda	Gabu	0	1
Tambacounda	Tombali	0	1
Kenieba	Kita	1	0
Kenieba	Kangaba	0	0
Kenieba	Kati	0	0
Kenieba	Yanfolila	0	0
Kenieba	SanPedro	0	1
Kenieba	Folon	0	1
Kenieba	Kabadougou	0	1
Kenieba	Cavally	0	1
Kenieba	Tonkpi	0	1
Kenieba	Bafing	0	1
Kenieba	Bomi	0	1
Kenieba	Bong	0	1
Kenieba	Gbarpolu	0	1
Kenieba	GrandCapeMount	0	1
Kenieba	GrandBassa	0	1
Kenieba	GrandGedeh	0	1
Kenieba	GrandKru	0	1
Kenieba	Lofa	0	1
Kenieba	Margibi	0	1
Kenieba	Maryland	0	1
Kenieba	Montserrado	0	1
Kenieba	Nimba	0	1
Kenieba	RiverCess	0	1
Kenieba	RiverGee	0	1
Kenieba	Sinoe	0	1
Kenieba	Boffa	0	1
Kenieba	Boke	0	1
Kenieba	Fria	0	1
Kenieba	Gaoual	0	1
Kenieba	Koundara	0	1
Kenieba	Conakry	0	1
Kenieba	Dabola	0	1
Kenieba	Dinguiraye	1	1
Kenieba	Faranah	0	1
Kenieba	Kissidougou	0	1
Kenieba	Kerouane	0	1
Kenieba	Kankan	0	1
Kenieba	Kouroussa	0	1
Kenieba	Mandiana	0	1
Kenieba	Siguiri	0	1
Kenieba	Coyah	0	1
Kenieba	Dubreka	0	1
Kenieba	Forecariah	0	1
Kenieba	Kindia	0	1
Kenieba	Telimele	0	1
Kenieba	Koubia	1	1
Kenieba	Lelouma	0	1
Kenieba	Labe	0	1
Kenieba	Mali	1	1
Kenieba	Tougue	1	1
Kenieba	Dalaba	0	1
Kenieba	Mamou	0	1
Kenieba	Pita	0	1
Kenieba	Beyla	0	1
Kenieba	Gueckedou	0	1
Kenieba	Lola	0	1
Kenieba	Macenta	0	1
Kenieba	Nzerekore	0	1
Kenieba	Yamou	0	1
Kenieba	Kailahun	0	1
Kenieba	Kenema	0	1
Kenieba	Kono	0	1
Kenieba	Bombali	0	1
Kenieba	Kambia	0	1
Kenieba	Koinadugu	0	1
Kenieba	PortLoko	0	1
Kenieba	Tonkolili	0	1
Kenieba	Bo	0	1
Kenieba	Bonthe	0	1
Kenieba	Moyamba	0	1
Kenieba	Pujehun	0	1
Kenieba	WesternRural	0	1
Kenieba	WesternUrban	0	1
Kenieba	Gabu	0	1
Kenieba	Tombali	0	1
Kita	Kangaba	0	0
Kita	Kati	1	0
Kita	Yanfolila	0	0
